"Package","Title","Description","URL","Version","Date","Category"
"alphahull","Generalization of the Convex Hull of a Sample of Points in the
Plane","Computation of the alpha-shape and alpha-convex
        hull of a given sample of points in the plane. The concepts of
        alpha-shape and alpha-convex hull generalize the definition of
        the convex hull of a finite set of points. The programming is
        based on the duality between the Voronoi diagram and Delaunay
        triangulation. The package also includes a function that
        returns the Delaunay mesh of a given sample of points and its
        dual Voronoi diagram in one single object.",NA,"2.1","2016-02-10","Color"
"Amelia","A Program for Missing Data","A tool that ""multiply imputes"" missing data in a single cross-section
  (such as a survey), from a time series (like variables collected for
  each year in a country), or from a time-series-cross-sectional data
  set (such as collected by years for each of several countries).
  Amelia II implements our bootstrapping-based algorithm that gives
  essentially the same answers as the standard IP or EMis approaches,
  is usually considerably faster than existing approaches and can
  handle many more variables.  Unlike Amelia I and other statistically
  rigorous imputation software, it virtually never crashes (but please
  let us know if you find to the contrary!).  The program also
  generalizes existing approaches by allowing for trends in time series
  across observations within a cross-sectional unit, as well as priors
  that allow experts to incorporate beliefs they have about the values
  of missing cells in their data.  Amelia II also includes useful
  diagnostics of the fit of multiple imputation models.  The program
  works from the R command line or via a graphical user interface that
  does not require users to know R.","http://gking.harvard.edu/amelia","1.7.5","2018-05-07","Imputation"
"anim.plots","Simple Animated Plots for R","Simple animated versions of basic R plots, using the 'animation'
    package. Includes animated versions of plot, barplot, persp, contour,
    filled.contour, hist, curve, points, lines, text, symbols, segments, and
    arrows.","http://github.com/hughjonesd/anim.plots","0.2","2017-5-13","Animation"
"animation","A Gallery of Animations in Statistics and Utilities to Create
Animations","Provides functions for animations in statistics, covering topics
    in probability theory, mathematical statistics, multivariate statistics,
    non-parametric statistics, sampling survey, linear models, time series,
    computational statistics, data mining and machine learning. These functions
    may be helpful in teaching statistics and data analysis. Also provided in
    this package are a series of functions to save animations to various formats,
    e.g. Flash, 'GIF', HTML pages, 'PDF' and videos. 'PDF' animations can be
    inserted into 'Sweave' / 'knitr' easily.","https://yihui.name/animation","2.5","2017-03-30","Animation"
"anomalize","Tidy Anomaly Detection","
    The 'anomalize' package enables a ""tidy"" workflow for detecting anomalies in data.
    The main functions are time_decompose(), anomalize(), and time_recompose().
    When combined, it's quite simple to decompose time series, detect anomalies,
    and create bands separating the ""normal"" data from the anomalous data at scale (i.e. for multiple time series). 
    Time series decomposition is used to remove trend and seasonal components via the time_decompose() function
    and methods include seasonal decomposition of time series by Loess (""stl"") and 
    seasonal decomposition by piecewise medians (""twitter""). The anomalize() function implements
    two methods for anomaly detection of residuals including using an inner quartile range (""iqr"")
    and generalized extreme studentized deviation (""gesd""). These methods are based on
    those used in the 'forecast' package and the Twitter 'AnomalyDetection' package. 
    Refer to the associated functions for specific references for these methods. ","https://github.com/business-science/anomalize","0.1.1",NA,"Outliers / Time Series"
"archivist","Tools for Storing, Restoring and Searching for R Objects","Data exploration and modelling is a process in which a lot of data
    artifacts are produced. Artifacts like: subsets, data aggregates, plots,
    statistical models, different versions of data sets and different versions
    of results. The more projects we work with the more artifacts are produced
    and the harder it is to manage these artifacts. Archivist helps to store
    and manage artifacts created in R. Archivist allows you to store selected
    artifacts as a binary files together with their metadata and relations.
    Archivist allows to share artifacts with others, either through shared
    folder or github. Archivist allows to look for already created artifacts by
    using it's class, name, date of the creation or other properties. Makes it
    easy to restore such artifacts. Archivist allows to check if new artifact
    is the exact copy that was produced some time ago. That might be useful
    either for testing or caching.","https://pbiecek.github.io/archivist/","2.3.1",NA,"workflow"
"autoplotly","Automatic Generation of Interactive Visualizations for
Statistical Results","Functionalities to automatically generate interactive visualizations for
             statistical results supported by 'ggfortify', such as time series, PCA,
             clustering and survival analysis, with 'plotly.js' <https://plot.ly/>  and
             'ggplot2' style. The generated visualizations can also be easily extended
             using 'ggplot2' and 'plotly' syntax while staying interactive.","https://github.com/terrytangyuan/autoplotly","0.1.2",NA,"Plots"
"basictabler","Construct Rich Tables for Output to 'HTML'/'Excel'","Easily create tables from data 
    frames/matrices.  Create/manipulate tables 
    row-by-row, column-by-column or cell-by-cell.  
    Use common formatting/styling to output 
    rich tables as 'HTML', 'HTML widgets' or to 
    'Excel'. ","https://github.com/cbailiss/basictabler","0.1.0",NA,"Tables"
"Boruta","Wrapper Algorithm for All Relevant Feature Selection","An all relevant feature selection wrapper algorithm.
 It finds relevant features by comparing original attributes' importance with importance achievable at random, estimated using their permuted copies (shadows).","https://mbq.github.io/Boruta/","5.3.0",NA,"EDA"
"bigrquery","An Interface to Google's 'BigQuery' 'API'","Easily talk to Google's 'BigQuery' database from R.","https://github.com/rstats-db/bigrquery","1.0.0",NA,"Big Data / Cloud"
"bookdown","Authoring Books and Technical Documents with R Markdown","Output formats and utilities for authoring books and technical documents with R Markdown.","https://github.com/rstudio/bookdown","0.7",NA,"Markdown"
