package,published,title,depends_count,suggests_count,tidyverse_happy,has_vignette_build,has_tests,reverse_count,dl_last_month,ci,test_coverage,forks,stars,watchers,last_commit,last_issue_closed,contributors
alphahull,2019-06-21,"Generalization of the Convex Hull of a Sample of Points in the
Plane",,,TRUE,FALSE,FALSE,3,3142,,,,,,,,
Amelia,2019-11-25,A Program for Missing Data,2,2,FALSE,FALSE,FALSE,6,9248,,,,,,,,
anim.plots,2019-05-16,Simple Animated Plots for R,,4,FALSE,TRUE,TRUE,0,764,Travis,NONE,3,8,2,,,
animation,2018-12-11,"A Gallery of Animations in Statistics and Utilities to Create
Animations",1,3,FALSE,FALSE,FALSE,21,11201,NONE,NONE,61,173,20,45.4666666666667,,
archivist,2019-08-31,"Tools for Storing, Restoring and Searching for R Objects",1,6,TRUE,TRUE,TRUE,2,1112,Travis,CodeCov,8,75,10,53.6666666666667,,
autoplotly,2018-04-21,"Automatic Generation of Interactive Visualizations for
Statistical Results",1,2,TRUE,TRUE,TRUE,0,871,Travis,NONE,4,62,11,32.5333333333333,,
basictabler,2020-03-07,Construct Rich Tables for Output to 'HTML'/'Excel',1,7,TRUE,TRUE,TRUE,0,893,Travis,NONE,1,26,3,7.33333333333333,,
bigrquery,2020-10-05,An Interface to Google's 'BigQuery' 'API',1,10,TRUE,FALSE,TRUE,4,13022,NONE,CodeCov,156,424,47,2.63333333333333,,
bookdown,2020-10-13,Authoring Books and Technical Documents with R Markdown,,9,FALSE,FALSE,FALSE,15,31086,Travis,NONE,932,2235,114,0.233333333333333,,
Boruta,2020-05-21,Wrapper Algorithm for All Relevant Feature Selection,,6,FALSE,FALSE,TRUE,4,30829,,,,,,,,
breakDown,2020-04-05,Model Agnostic Explainers for Individual Predictions,1,9,TRUE,TRUE,TRUE,3,1128,Travis,CodeCov,16,91,10,,,
brms,2020-11-03,Bayesian Regression Models using 'Stan',3,16,TRUE,TRUE,TRUE,3,13888,Travis,CodeCov,104,786,49,0.0333333333333333,,
C50,2020-05-26,C5.0 Decision Trees and Rule-Based Models,1,2,FALSE,TRUE,FALSE,9,13631,NONE,NONE,18,41,6,,,
car,2020-09-29,Companion to Applied Regression,2,11,FALSE,TRUE,FALSE,174,355262,,,,,,,,
caret,2020-03-20,Classification and Regression Training,3,27,FALSE,TRUE,TRUE,149,181162,Travis,NONE,583,1272,110,4.2,,
caretEnsemble,2019-12-12,Ensembles of Caret Models,1,15,TRUE,TRUE,TRUE,0,3162,NONE,NONE,74,212,26,7.86666666666667,,
cartography,2020-09-02,Thematic Cartography,1,6,FALSE,TRUE,FALSE,1,3536,NONE,CodeCov,41,348,27,3.7,,
caTools,2020-01-17,"Tools: Moving Window Statistics, GIF, Base64, ROC AUC, etc",1,2,FALSE,FALSE,FALSE,44,149413,,,,,,,,
changepoint,2016-10-04,Methods for Changepoint Detection,4,1,,FALSE,TRUE,25,10114,NONE,,31,86,10,1.7,,
changepointsHD,2019-09-20,"Change-Point Estimation for Expensive and High-Dimensional
Models",,,FALSE,FALSE,FALSE,0,535,,,,,,,,
charlatan,2020-01-24,Make Fake Data,,5,TRUE,TRUE,TRUE,0,760,NONE,CodeCov,19,201,9,11.1333333333333,,
choroplethr,2020-08-11,Simplify the Creation of Choropleth Maps in R,2,3,TRUE,FALSE,TRUE,2,3728,,,,,,,,
choroplethrMaps,2017-01-31,Contains Maps Used by the 'choroplethr' Package,,1,,FALSE,FALSE,1,1888,,,,,,,,
chunked,2020-11-03,Chunkwise Text-File Processing for 'dplyr',1,3,TRUE,FALSE,TRUE,0,844,"Travis, Appveyor",NONE,8,153,10,,,
cleandata,2018-12-01,"To Inspect and Manipulate Data; and to Keep Track of This
Process",1,1,FALSE,TRUE,FALSE,0,553,NONE,NONE,1,4,0,25.0666666666667,,
cleanNLP,2020-10-13,A Tidy Data Model for Natural Language Processing,1,3,FALSE,TRUE,TRUE,0,1184,Travis,NONE,33,170,17,2.13333333333333,,
clustree,2020-06-14,Visualise Clusterings at Different Resolutions,2,7,TRUE,TRUE,TRUE,0,1325,"Travis, Appveyor",CodeCov,10,97,4,6.36666666666667,,
colourpicker,2020-09-14,"A Colour Picker Tool for Shiny and for Selecting Colours in
Plots",1,3,TRUE,TRUE,FALSE,40,36486,Travis,NONE,21,141,11,3.33333333333333,,
compare,2015-08-25,Comparing Objects for Differences,,,,FALSE,FALSE,6,6290,,,,,,,,
compareGroups,2020-12-04,Descriptive Analysis by Groups,1,10,FALSE,TRUE,FALSE,0,4087,,,,,,,,
condformat,2020-05-14,Conditional Formatting in Data Frames,,3,TRUE,TRUE,TRUE,1,872,NONE,CodeCov,3,17,6,7.43333333333333,,
confinterpret,2017-10-03,Descriptive Interpretations of Confidence Intervals,,3,,FALSE,TRUE,0,613,Travis,NONE,0,0,1,39.2333333333333,,
conflicted,2019-06-21,An Alternative Conflict Resolution Strategy,1,5,TRUE,FALSE,TRUE,0,6392,Travis,CodeCov,9,184,5,2.03333333333333,,
corrr,2020-11-24,Correlations in R,1,7,TRUE,TRUE,TRUE,1,8402,Travis,CodeCov,48,475,16,0.966666666666667,,
cowplot,2020-09-08,Streamlined Plot Theme and Plot Annotations for 'ggplot2',1,15,TRUE,TRUE,TRUE,125,292811,NONE,CodeCov,74,549,30,0.266666666666667,,
cr17,,,,,,,,,,,,,,,,,
CRANsearcher,2017-06-26,"RStudio Addin for Searching Packages in CRAN Database Based on
Keywords",1,,TRUE,FALSE,FALSE,0,974,Travis,NONE,6,32,7,39.2666666666667,,
crayon,2017-09-16,Colored Terminal Output,,4,FALSE,FALSE,TRUE,213,649469,NONE,CodeCov,30,237,6,0.2,,
cshapes,2016-12-02,The CShapes Dataset and Utilities,4,,,FALSE,FALSE,0,2404,,,,,,,,
ctv,2018-05-17,CRAN Task Views,2,1,,FALSE,FALSE,0,1821,,,,,,,,
d3heatmap,,,,,,,,,,,,,,,,,
d3Tree,2020-12-10,"Create Interactive Collapsible Trees with the JavaScript 'D3'
Library",1,2,TRUE,FALSE,FALSE,0,1197,NONE,NONE,29,68,17,14.5333333333333,,
data.table,2020-12-08,Extension of `data.frame`,1,9,FALSE,TRUE,FALSE,1067,708813,"Travis, Appveyor",CodeCov,895,2564,179,,,
DataCombine,2016-04-13,Tools for Easily Combining and Cleaning Data Sets,1,2,TRUE,FALSE,TRUE,5,3678,Travis,NONE,9,52,6,74.2333333333333,,
dataCompareR,2020-04-30,Compare Two Data Frames and Summarise the Difference,1,6,TRUE,TRUE,TRUE,0,750,NONE,,16,55,8,7.76666666666667,,
DataExplorer,2020-12-15,Automate Data Exploration and Treatment,1,5,TRUE,TRUE,TRUE,0,2582,"Travis, Appveyor",CodeCov,59,334,34,,,
dataMaid,2019-12-10,"A Suite of Checks for Identification of Potential Errors in a
Data Frame as Part of the Data Screening Process",,2,TRUE,TRUE,TRUE,0,1404,Travis,NONE,20,118,11,,,
datamaps,,,,,,,,,,,,,,,,,
datapasta,2020-01-17,R Tools for Data Copy-Pasta,1,6,TRUE,TRUE,TRUE,0,1599,NONE,NONE,48,689,25,11.1333333333333,,
dataPreparation,2020-12-16,Automated Data Preparation,5,5,FALSE,FALSE,TRUE,0,2944,Travis,CodeCov,7,25,2,0.266666666666667,,
default,2017-08-07,Change the Default Arguments in R Functions,,1,,FALSE,TRUE,0,710,,,,,,,,
densityClust,2017-10-24,Clustering by Fast Search and Find of Density Peaks,,1,TRUE,FALSE,TRUE,1,2386,,,,,,,,
descriptr,2020-12-09,Generate Descriptive Statistics,1,7,TRUE,TRUE,TRUE,0,1391,NONE,CodeCov,11,29,4,0.466666666666667,,
desctable,2020-10-17,Produce Descriptive and Comparative Tables Easily,2,4,TRUE,TRUE,FALSE,0,828,Travis,NONE,2,50,4,29.8666666666667,,
DescTools,2020-12-07,Tools for Descriptive Statistics,3,4,TRUE,TRUE,FALSE,31,56806,NONE,NONE,4,23,2,,,
diagram,2020-09-30,"Functions for Visualising Simple Graphs (Networks), Plotting
Flow Diagrams",2,,FALSE,FALSE,FALSE,15,5254,,,,,,,,
DiagrammeR,2020-05-08,Graph/Network Visualization,1,6,TRUE,TRUE,TRUE,37,22387,Travis,CodeCov,217,1414,75,5.63333333333333,,
diceR,2020-07-07,Diverse Cluster Ensemble in R,1,14,TRUE,TRUE,TRUE,0,879,"Travis, Appveyor",CodeCov,6,23,6,5.56666666666667,,
diffdf,2020-03-17,Dataframe Difference Tool,1,9,TRUE,TRUE,TRUE,0,755,NONE,CodeCov,2,13,2,4.13333333333333,,
diffobj,2020-10-05,Diffs for R Objects,1,3,TRUE,TRUE,TRUE,7,729366,Travis,CodeCov,10,184,4,,,
directlabels,2020-06-25,Direct Labels for Multicolor Plots,,12,FALSE,TRUE,TRUE,13,5529,Travis,NONE,11,38,2,,,
dqrng,2019-05-17,Fast Pseudo Random Number Generators,1,3,FALSE,TRUE,TRUE,5,11452,"Travis, Appveyor",CodeCov,3,17,6,20.3666666666667,,
drake,2020-10-27,A Pipeline Toolkit for Reproducible Computation at Scale,1,29,TRUE,FALSE,TRUE,0,2371,NONE,NONE,130,1273,31,0.6,,
dygraphs,2018-07-11,Interface to 'Dygraphs' Interactive Time Series Charting Library,1,1,TRUE,FALSE,TRUE,24,40667,NONE,,191,313,42,29.8666666666667,,
echarts4r,2020-10-16,Create Interactive Graphs with 'Echarts JavaScript' Version 4,,5,TRUE,FALSE,TRUE,2,3986,"Travis, Appveyor",NONE,48,345,19,0,,
